sentence_id,sentence,source_title,year,venue,citation_count,fields,climate_score,entities,relations,annotated
s0311_02805,"This estimated net C transfer to the atmosphere from permafrost thaw represents a significant factor in the overall ecosystem carbon budget of the Pan-Arctic, and a non-trivial additional contribution on top of the combined fossil fuel emissions from the eight Arctic nations over this time period.",The impacts of recent permafrost thaw on land–atmosphere greenhouse gas exchange,2014.0,,97,"Environmental Science, Physics, Environmental Science",6,,,False
s0453_04193,"This information on the spatial and temporal patterns on groundwater discharge at high northern latitudes is critical for predicting lake CH4 emissions in the warming Arctic, as rising temperatures, increasing precipitation, and permafrost thawing may further exacerbate groundwater CH4 inputs to lakes.",Groundwater discharge as a driver of methane emissions from Arctic lakes,2022.0,Nature Communications,50,"Medicine, Environmental Science",5,,,False
s0461_04255,Net carbon dioxide (CO2) and methane (CH4) fluxes determine the radiative forcing contribution from these climate-sensitive ecosystems.,Permafrost thaw driven changes in hydrology and vegetation cover increase trace gas emissions and climate forcing in Stordalen Mire from 1970 to 2014,2021.0,Philosophical Transactions of the Royal Society A,49,"Medicine, Environmental Science, Geology",5,,,False
s0220_01977,"Background Climate-induced coral bleaching poses a major threat to coral reef ecosystems, mostly because of the sensitivities of key habitat-forming corals to increasing temperature.","Changes in Bleaching Susceptibility among Corals Subject to Ocean Warming and Recurrent Bleaching in Moorea, French Polynesia",2013.0,PLoS ONE,180,"Biology, Medicine, Environmental Science",5,,,False
s0230_02074,"Expansion of the coral genomic tool kit could facilitate more informed conservation Coral reefs provide more than 1 billion people with food and income, yet these vital ecosystems are at risk because of rising ocean temperatures.",Can genomes predict coral bleaching?,2020.0,Science,1,"Biology, Medicine, Environmental Science, Biology",4,,,False
s0306_02754,"Despite concerns about how lakes will affect the permafrost carbon feedback, the magnitude of carbon dioxide and methane emissions from deep permafrost soils remains poorly understood.",Substantial and overlooked greenhouse gas emissions from deep Arctic lake sediment,2025.0,Nature Geoscience,6,"Environmental Science, Geology",4,,,False
s0318_02869,"Since emissions of greenhouse gases from soil derive from biological processes that are sensitive to soil temperature and water content, climate change may impact significantly on future emissions.","Soils and climate change: potential impacts on carbon stocks and greenhouse gas emissions, and future research for Australian agriculture",2012.0,Crop and Pasture Science,103,"Biology, Environmental Science, Agricultural and Food Sciences",4,,,False
s0358_03273,"This indicates a self-reinforcing feedback loop, where higher levels of climate change lead to greater biodiversity loss, which in turn leads to greater carbon emissions and ultimately more climate change.",Biodiversity loss reduces global terrestrial carbon storage,2024.0,Nature Communications,99,"Medicine, Environmental Science, Biology",4,,,False
s0374_03450,"Biodiversity responses to past rapid warming events can be followed in situ and over extended periods, using cross-disciplinary approaches that provide cost-effective and scalable information for species conservation and the maintenance of resilient ecosystems in many bioregions.",Using paleo-archives to safeguard biodiversity under climate change,2020.0,Science,156,"Geography, Medicine, Environmental Science",4,,,False
s0590_05347,"Climate change is leading to a disproportionately large warming in the high northern latitudes, but the magnitude and sign of the future carbon balance of the Arctic are highly uncertain.",Carbon cycle uncertainty in the Alaskan Arctic,2014.0,,120,"Environmental Science, Environmental Science",4,,,False
s0280_02516,"Accelerated forest dieback has been documented at many locations around the world that have experienced severe drought, warming, and wildfires associated with global climate change.",More Trees Are Dying Due to Drought and Wildfire but Do Not Lose Sight of Forest Pathogens,2020.0,Earth's Future,3,"Geography, Environmental Science",4,,,False
s0386_03553,"Biodiversity loss and climate change both result from tropical deforestation, yet strategies to address biodiversity loss have focused primarily on protected areas while strategies to address climate change have focused primarily on carbon payments.",Parks versus payments: reconciling divergent policy responses to biodiversity loss and climate change from tropical deforestation,2013.0,,22,"Physics, Geography, Environmental Science, Economics, Political Science",4,,,False
s0138_01202,"Reducing mangrove deforestation rates further would elevate the carbon benefit from climate change by 5561%, to make the proposition of offsetting emissions through mangrove protection and restoration more attractive.",Future Mangrove Carbon Storage Under Climate Change and Deforestation,2022.0,Frontiers in Marine Science,89,Environmental Science,4,,,False
s0360_03288,"While climate change is recognized as a major future threat to biodiversity, most species are currently threatened by extensive humaninduced habitat loss, fragmentation and degradation.",Up in the air: Threats to Afromontane biodiversity from climate change and habitat loss revealed by genetic monitoring of the Ethiopian Highlands bat,2020.0,Evolutionary Applications,33,"Biology, Medicine, Environmental Science, Biology",4,,,False
s0397_03680,"Human-caused exploitation and climate change are increasingly threatening biodiversity and natures contributions to people, causing losses and damages exemplified through overfished stocks and excessive drought that harm productive habitats.",Overcoming the coupled climate and biodiversity crises and their societal impacts,2023.0,Science,344,"Medicine, Environmental Science, Sociology",4,,,False
s0252_02266,"Anthropogenic climate change has increased the frequency of drought, wildfire, and invasions of non-native species.",Long-term drought promotes invasive species by reducing wildfire severity.,2024.0,Ecology,6,"Medicine, Environmental Science",4,,,False
s0397_03666,"In intact and functional ecosystems, nature is efficient at carbon capture (by photosynthesis) and sequestration (long-term removal from the carbon cycle), provided that warming is limited to 1.5°C or below through ambitious emissions reductions.",Overcoming the coupled climate and biodiversity crises and their societal impacts,2023.0,Science,344,"Medicine, Environmental Science, Sociology",4,,,False
s0414_03833,"Despite large hydrologic shifts, net ecosystem CO2 exchange remained a slight sink after collapse, while methane (CH4) emissions rose by one to two orders of magnitude.",Hydrology controls thermokarst and alters carbon cycling and methane emissions in peatlands near the southern limit of permafrost,2025.0,Environmental Research Letters,0,"Physics, Environmental Science",4,,,False
s0384_03530,"We assess the potential for future biodiversity loss due to three interacting factors: energy withdrawal from ecosystems due to biomass harvest, habitat loss due to land-use change, and climate change.",Scenarios for future biodiversity loss due to multiple drivers reveal conflict between mitigating climate change and preserving biodiversity,2013.0,,30,"Physics, Environmental Science, Environmental Science",4,,,False
s0564_05138,"Comparing the habitat conditions, we found the lower canopy density and water stress could increase the CUE in the same ecosystem, which indicates the plant could increase their efficiency of transforming carbon from the atmosphere to terrestrial biomass in adverse environment.","Carbon use efficiency of terrestrial ecosystems in desert/grassland biome transition zone: A case in Ningxia province, northwest China",2021.0,,48,"Environmental Science, Environmental Science",4,,,False
s0562_05118,"Under an RCP 8.5 scenario, nitrogen limitation suppresses potential CO2 fertilisation, reducing the cumulative net ecosystem carbon uptake between 1850 and 2100 by 61%, and soil warming-induced increase in nitrogen mineralisation reduces terrestrial carbon loss by 31%.",Nitrogen feedbacks increase future terrestrial ecosystem carbon uptake in an individual-based dynamic vegetation model,2014.0,,74,"Environmental Science, Environmental Science, Biology",4,,,False
