head,head_type,relation,tail,tail_type,confidence,sentence
Sea level rise,Climate_Driver,affects,coastal areas,Ecosystem,0.62,"Sea level rise (SLR) and increased urbanisation of coastal areas have exacerbated coastal flood threats, making them even more severe in important cultural sites."
Sea level rise,Climate_Driver,causes,coastal,Env_Event,0.705,"Sea level rise (SLR) and increased urbanisation of coastal areas have exacerbated coastal flood threats, making them even more severe in important cultural sites."
Sea level rise,Climate_Driver,causes,flood,Env_Event,0.945,"Sea level rise (SLR) and increased urbanisation of coastal areas have exacerbated coastal flood threats, making them even more severe in important cultural sites."
Sea level rise,Climate_Driver,affects,cultural sites.,Geo_Location,0.982,"Sea level rise (SLR) and increased urbanisation of coastal areas have exacerbated coastal flood threats, making them even more severe in important cultural sites."
coastal,Env_Event,occurs_in,coastal areas,Ecosystem,0.966,"Sea level rise (SLR) and increased urbanisation of coastal areas have exacerbated coastal flood threats, making them even more severe in important cultural sites."
coastal,Env_Event,affects,cultural sites.,Geo_Location,0.51,"Sea level rise (SLR) and increased urbanisation of coastal areas have exacerbated coastal flood threats, making them even more severe in important cultural sites."
flood,Env_Event,occurs_in,coastal areas,Ecosystem,0.967,"Sea level rise (SLR) and increased urbanisation of coastal areas have exacerbated coastal flood threats, making them even more severe in important cultural sites."
flood,Env_Event,affects,cultural sites.,Geo_Location,0.945,"Sea level rise (SLR) and increased urbanisation of coastal areas have exacerbated coastal flood threats, making them even more severe in important cultural sites."
cultural sites.,Geo_Location,occurs_in,coastal areas,Ecosystem,0.965,"Sea level rise (SLR) and increased urbanisation of coastal areas have exacerbated coastal flood threats, making them even more severe in important cultural sites."
flooding,Env_Event,occurs_in,"Adriatic Sea,",Geo_Location,0.986,"Grado is located on a barrier island of the homonymous lagoon, the northernmost of the Adriatic Sea, and is prone to flooding from both the sea and the back lagoon."
flood,Env_Event,causes,flooding.,Env_Event,0.697,"The study includes a detailed analysis of flood impacts on the urban fabric, categorised into sectors based on the promenade elevation on the lagoon side, the most vulnerable to flooding."
"storm surges,",Climate_Driver,causes,flood,Env_Event,0.969,"Inundated areas were obtained using a high-resolution digital terrain model through a GIS-based technique, assessing both the magnitude and exposure of the urban environment to flood risk due to storm surges, also considering relative SLR projections for 2050 and 2100."
coastal floods,Env_Event,affects,low-elevation coastal zone,Geo_Location,0.742,"Starting from baseline population estimates for the year 2000, we assess future population change in the low-elevation coastal zone and trends in exposure to 100-year coastal floods based on four different sea-level and socio-economic scenarios."
sea-level rise.,Climate_Driver,affects,coastal areas,Ecosystem,0.988,"Our method accounts for differential growth of coastal areas against the land-locked hinterland and for trends of urbanisation and expansive urban growth, as currently observed, but does not explicitly consider possible displacement or out-migration due to factors such as sea-level rise."
flooding,Env_Event,occurs_in,"low-elevation coastal zone,",Geo_Location,0.887,"Our scenarios show that the number of people living in the low-elevation coastal zone, as well as the number of people exposed to flooding from 1-in-100 year storm surge events, is highest in Asia."
storm surge,Climate_Driver,affects,"low-elevation coastal zone,",Geo_Location,0.786,"Our scenarios show that the number of people living in the low-elevation coastal zone, as well as the number of people exposed to flooding from 1-in-100 year storm surge events, is highest in Asia."
storm surge,Climate_Driver,causes,flooding,Env_Event,0.974,"Our scenarios show that the number of people living in the low-elevation coastal zone, as well as the number of people exposed to flooding from 1-in-100 year storm surge events, is highest in Asia."
"India,",Geo_Location,occurs_in,"China,",Geo_Location,0.625,"China, India, Bangladesh, Indonesia and Viet Nam are estimated to have the highest total coastal population exposure in the baseline year and this ranking is expected to remain largely unchanged in the future."
"Bangladesh,",Geo_Location,occurs_in,Indonesia,Geo_Location,0.556,"China, India, Bangladesh, Indonesia and Viet Nam are estimated to have the highest total coastal population exposure in the baseline year and this ranking is expected to remain largely unchanged in the future."
"Bangladesh,",Geo_Location,occurs_in,Viet Nam,Geo_Location,0.55,"China, India, Bangladesh, Indonesia and Viet Nam are estimated to have the highest total coastal population exposure in the baseline year and this ranking is expected to remain largely unchanged in the future."
Indonesia,Geo_Location,occurs_in,Viet Nam,Geo_Location,0.688,"China, India, Bangladesh, Indonesia and Viet Nam are estimated to have the highest total coastal population exposure in the baseline year and this ranking is expected to remain largely unchanged in the future."
coastal,Ecosystem,occurs_in,"China,",Geo_Location,0.884,"China, India, Bangladesh, Indonesia and Viet Nam are estimated to have the highest total coastal population exposure in the baseline year and this ranking is expected to remain largely unchanged in the future."
coastal,Ecosystem,occurs_in,"India,",Geo_Location,0.653,"China, India, Bangladesh, Indonesia and Viet Nam are estimated to have the highest total coastal population exposure in the baseline year and this ranking is expected to remain largely unchanged in the future."
coastal,Ecosystem,occurs_in,"Bangladesh,",Geo_Location,0.685,"China, India, Bangladesh, Indonesia and Viet Nam are estimated to have the highest total coastal population exposure in the baseline year and this ranking is expected to remain largely unchanged in the future."
