entity_type,term
CLIMATE_DRIVER,carbon dioxide
CLIMATE_DRIVER,CO2
CLIMATE_DRIVER,CO₂
CLIMATE_DRIVER,methane
CLIMATE_DRIVER,CH4
CLIMATE_DRIVER,CH₄
CLIMATE_DRIVER,nitrous oxide
CLIMATE_DRIVER,N2O
CLIMATE_DRIVER,N₂O
CLIMATE_DRIVER,ozone
CLIMATE_DRIVER,O3
CLIMATE_DRIVER,O₃
CLIMATE_DRIVER,water vapour
CLIMATE_DRIVER,water vapor
CLIMATE_DRIVER,sulfur dioxide
CLIMATE_DRIVER,SO2
CLIMATE_DRIVER,SO₂
CLIMATE_DRIVER,nitrogen dioxide
CLIMATE_DRIVER,NO2
CLIMATE_DRIVER,NO₂
CLIMATE_DRIVER,hydrofluorocarbons
CLIMATE_DRIVER,HFCs
CLIMATE_DRIVER,perfluorocarbons
CLIMATE_DRIVER,PFCs
CLIMATE_DRIVER,sulfur hexafluoride
CLIMATE_DRIVER,SF6
CLIMATE_DRIVER,chlorofluorocarbons
CLIMATE_DRIVER,CFCs
CLIMATE_DRIVER,tropospheric ozone
CLIMATE_DRIVER,black carbon
CLIMATE_DRIVER,soot
CLIMATE_DRIVER,aerosols
CLIMATE_DRIVER,particulate matter
CLIMATE_DRIVER,greenhouse gas
CLIMATE_DRIVER,greenhouse gases
CLIMATE_DRIVER,GHG
CLIMATE_DRIVER,GHGs
CLIMATE_DRIVER,radiative forcing
CLIMATE_DRIVER,effective radiative forcing
CLIMATE_DRIVER,ERF
CLIMATE_DRIVER,anthropogenic forcing
CLIMATE_DRIVER,climate forcing
CLIMATE_DRIVER,carbon emissions
CLIMATE_DRIVER,CO2 emissions
CLIMATE_DRIVER,CO₂ emissions
CLIMATE_DRIVER,greenhouse gas emissions
CLIMATE_DRIVER,GHG emissions
CLIMATE_DRIVER,fossil fuel emissions
CLIMATE_DRIVER,carbon pollution
CLIMATE_DRIVER,methane emissions
CLIMATE_DRIVER,methane flux
CLIMATE_DRIVER,permafrost methane
CLIMATE_DRIVER,wetland methane
CLIMATE_DRIVER,atmospheric CO2
CLIMATE_DRIVER,atmospheric carbon dioxide
CLIMATE_DRIVER,atmospheric methane
CLIMATE_DRIVER,atmospheric concentration
CLIMATE_DRIVER,carbon concentration
CLIMATE_DRIVER,greenhouse effect
CLIMATE_DRIVER,short-lived climate forcers
CLIMATE_DRIVER,short-lived climate pollutants
CLIMATE_DRIVER,albedo
CLIMATE_DRIVER,surface albedo
CLIMATE_DRIVER,ice-albedo feedback
CLIMATE_DRIVER,solar radiation
CLIMATE_DRIVER,solar irradiance
CLIMATE_DRIVER,insolation
CLIMATE_DRIVER,volcanic aerosols
CLIMATE_DRIVER,stratospheric aerosols
CLIMATE_VARIABLE,global temperature
CLIMATE_VARIABLE,global mean temperature
CLIMATE_VARIABLE,global surface temperature
CLIMATE_VARIABLE,global mean surface temperature
CLIMATE_VARIABLE,surface temperature
CLIMATE_VARIABLE,air temperature
CLIMATE_VARIABLE,land temperature
CLIMATE_VARIABLE,ocean temperature
CLIMATE_VARIABLE,sea surface temperature
CLIMATE_VARIABLE,SST
CLIMATE_VARIABLE,warming
CLIMATE_VARIABLE,global warming
CLIMATE_VARIABLE,temperature increase
CLIMATE_VARIABLE,temperature rise
CLIMATE_VARIABLE,temperature anomaly
CLIMATE_VARIABLE,heat content
CLIMATE_VARIABLE,ocean heat content
CLIMATE_VARIABLE,upper ocean heat content
CLIMATE_VARIABLE,warming trend
CLIMATE_VARIABLE,temperature trend
CLIMATE_VARIABLE,precipitation
CLIMATE_VARIABLE,rainfall
CLIMATE_VARIABLE,snowfall
CLIMATE_VARIABLE,runoff
CLIMATE_VARIABLE,evapotranspiration
CLIMATE_VARIABLE,evaporation
CLIMATE_VARIABLE,soil moisture
CLIMATE_VARIABLE,streamflow
CLIMATE_VARIABLE,river discharge
CLIMATE_VARIABLE,groundwater
CLIMATE_VARIABLE,freshwater availability
CLIMATE_VARIABLE,water cycle
CLIMATE_VARIABLE,hydrological cycle
CLIMATE_VARIABLE,monsoon
CLIMATE_VARIABLE,monsoon rainfall
CLIMATE_VARIABLE,sea level
CLIMATE_VARIABLE,sea level rise
CLIMATE_VARIABLE,sea level change
CLIMATE_VARIABLE,global mean sea level
CLIMATE_VARIABLE,relative sea level
CLIMATE_VARIABLE,sea level increase
CLIMATE_VARIABLE,coastal inundation
CLIMATE_VARIABLE,ocean pH
CLIMATE_VARIABLE,ocean acidification
CLIMATE_VARIABLE,ocean salinity
CLIMATE_VARIABLE,ocean circulation
CLIMATE_VARIABLE,thermohaline circulation
CLIMATE_VARIABLE,AMOC
CLIMATE_VARIABLE,Atlantic overturning circulation
CLIMATE_VARIABLE,ocean oxygen
CLIMATE_VARIABLE,ocean deoxygenation
CLIMATE_VARIABLE,sea ice extent
CLIMATE_VARIABLE,sea ice area
CLIMATE_VARIABLE,sea ice thickness
CLIMATE_VARIABLE,Arctic sea ice
CLIMATE_VARIABLE,Antarctic sea ice
CLIMATE_VARIABLE,snow cover
CLIMATE_VARIABLE,snow depth
CLIMATE_VARIABLE,permafrost temperature
CLIMATE_VARIABLE,permafrost thaw
CLIMATE_VARIABLE,active layer thickness
CLIMATE_VARIABLE,atmospheric pressure
CLIMATE_VARIABLE,humidity
CLIMATE_VARIABLE,relative humidity
CLIMATE_VARIABLE,wind speed
CLIMATE_VARIABLE,wind pattern
CLIMATE_VARIABLE,jet stream
CLIMATE_VARIABLE,atmospheric circulation
CLIMATE_VARIABLE,stratospheric temperature
CLIMATE_VARIABLE,tropopause
CLIMATE_VARIABLE,heat wave frequency
CLIMATE_VARIABLE,cold spell
CLIMATE_VARIABLE,carbon flux
CLIMATE_VARIABLE,carbon uptake
CLIMATE_VARIABLE,carbon sink
CLIMATE_VARIABLE,carbon source
CLIMATE_VARIABLE,net ecosystem production
CLIMATE_VARIABLE,gross primary production
CLIMATE_VARIABLE,GPP
CLIMATE_VARIABLE,terrestrial carbon sink
CLIMATE_VARIABLE,ocean carbon sink
CLIMATE_VARIABLE,extreme heat
CLIMATE_VARIABLE,extreme precipitation
CLIMATE_VARIABLE,heavy rainfall
CLIMATE_VARIABLE,flood frequency
CLIMATE_VARIABLE,drought frequency
CLIMATE_VARIABLE,fire weather
ENVIRONMENTAL_EVENT,heat wave
ENVIRONMENTAL_EVENT,heatwave
ENVIRONMENTAL_EVENT,heat stress
ENVIRONMENTAL_EVENT,heat extreme
ENVIRONMENTAL_EVENT,extreme heat event
ENVIRONMENTAL_EVENT,hot spell
ENVIRONMENTAL_EVENT,urban heat island
ENVIRONMENTAL_EVENT,cold wave
ENVIRONMENTAL_EVENT,cold snap
ENVIRONMENTAL_EVENT,frost
ENVIRONMENTAL_EVENT,freeze
ENVIRONMENTAL_EVENT,drought
ENVIRONMENTAL_EVENT,flash drought
ENVIRONMENTAL_EVENT,agricultural drought
ENVIRONMENTAL_EVENT,hydrological drought
ENVIRONMENTAL_EVENT,meteorological drought
ENVIRONMENTAL_EVENT,wildfire
ENVIRONMENTAL_EVENT,forest fire
ENVIRONMENTAL_EVENT,bushfire
ENVIRONMENTAL_EVENT,wildland fire
ENVIRONMENTAL_EVENT,fire weather
ENVIRONMENTAL_EVENT,fire season
ENVIRONMENTAL_EVENT,flooding
ENVIRONMENTAL_EVENT,flood
ENVIRONMENTAL_EVENT,flash flood
ENVIRONMENTAL_EVENT,coastal flooding
ENVIRONMENTAL_EVENT,riverine flooding
